Date,GC=F,SI=F,PL=F,HG=F,PA=F,CL=F,ZC=F,ZO=F,KE=F,ZR=F,ZM=F,ZL=F,ZS=F,GF=F,HE=F,LE=F,CC=F,KC=F,CT=F,SB=F
2020-04-27,1711.9000244140625,15.201000213623047,776.5999755859375,2.381999969482422,1903.0999755859375,12.779999732971191,305.5,305.0,470.5,1697.5,285.29998779296875,24.989999771118164,829.0,120.4000015258789,56.275001525878906,84.80000305175781,2348.0,104.5999984741211,53.93000030517578,9.210000038146973
2020-04-28,1710.5,15.161999702453613,792.0,2.378999948501587,1887.0,12.34000015258789,302.75,305.75,474.5,1686.0,281.79998779296875,25.299999237060547,826.0,119.625,55.04999923706055,85.5250015258789,2360.0,105.69999694824219,56.18000030517578,9.34000015258789
2020-04-29,1703.4000244140625,15.15999984741211,795.4000244140625,2.374500036239624,1913.5,15.0600004196167,304.5,306.5,467.75,1800.0,283.20001220703125,25.780000686645508,831.75,119.55000305175781,56.275001525878906,85.5999984741211,2395.0,103.6500015258789,58.02000045776367,9.760000228881836
2020-04-30,1684.199951171875,14.89799976348877,809.5,2.3540000915527344,1952.0999755859375,18.84000015258789,311.5,307.0,482.25,1715.5,289.6000061035156,26.229999542236328,850.25,119.17500305175781,59.125,90.0,2432.0,104.6500015258789,58.060001373291016,10.390000343322754
2020-05-01,1694.5,14.86299991607666,769.9000244140625,2.31850004196167,1883.5,19.780000686645508,311.5,309.25,482.0,1677.5,287.3999938964844,26.139999389648438,847.25,117.82499694824219,62.875,87.25,2420.0,104.44999694824219,56.560001373291016,10.970000267028809
2020-05-04,1706.9000244140625,14.722000122070312,774.2000122070312,2.3239998817443848,1831.0,20.389999389648438,310.75,315.0,483.75,1620.0,283.29998779296875,25.799999237060547,834.0,119.07499694824219,67.7249984741211,88.07499694824219,2405.0,105.55000305175781,55.0,10.399999618530273
2020-05-05,1704.4000244140625,15.057000160217285,780.0999755859375,2.3410000801086426,1752.199951171875,24.559999465942383,313.0,315.0,483.0,1614.5,284.79998779296875,25.969999313354492,838.25,119.5999984741211,66.1500015258789,86.4749984741211,2396.0,108.8499984741211,53.90999984741211,10.779999732971191
2020-05-06,1684.199951171875,14.987000465393066,760.9000244140625,2.3524999618530273,1753.5999755859375,23.989999771118164,311.75,310.25,476.5,1669.0,283.1000061035156,25.520000457763672,830.5,124.0999984741211,68.0999984741211,89.4749984741211,2381.0,109.3499984741211,54.83000183105469,10.270000457763672
2020-05-07,1721.800048828125,15.562000274658203,777.5,2.385499954223633,1830.4000244140625,23.549999237060547,316.0,315.25,477.5,1685.0,283.6000061035156,25.940000534057617,841.5,130.27499389648438,68.80000305175781,93.9749984741211,2399.0,107.44999694824219,55.38999938964844,10.329999923706055
2020-05-08,1709.9000244140625,15.739999771118164,784.7000122070312,2.4084999561309814,1815.800048828125,24.739999771118164,319.0,315.5,504.0,1670.0,286.70001220703125,26.229999542236328,848.75,127.9000015258789,67.30000305175781,94.6500015258789,2418.0,110.0999984741211,56.27000045776367,10.289999961853027
2020-05-11,1695.300048828125,15.63599967956543,776.7000122070312,2.381999969482422,1822.800048828125,24.139999389648438,318.5,318.75,496.0,1681.0,286.29998779296875,26.190000534057617,852.25,123.6500015258789,66.32499694824219,92.67500305175781,2481.0,108.94999694824219,56.630001068115234,10.119999885559082
2020-05-12,1704.4000244140625,15.687000274658203,772.7999877929688,2.3605000972747803,1830.0999755859375,25.780000686645508,323.75,320.75,483.5,1722.5,288.6000061035156,25.979999542236328,849.25,127.30000305175781,68.0250015258789,97.17500305175781,2420.0,105.5999984741211,58.34000015258789,10.25
2020-05-13,1713.9000244140625,15.663000106811523,765.2000122070312,2.3489999771118164,1785.4000244140625,25.290000915527344,320.25,322.0,458.0,1742.0,285.20001220703125,25.6299991607666,836.0,125.30000305175781,68.0,93.875,2474.0,103.55000305175781,57.459999084472656,10.260000228881836
2020-05-14,1738.0999755859375,16.13599967956543,770.4000244140625,2.3510000705718994,1792.9000244140625,27.559999465942383,320.25,322.0,458.0,1742.0,285.20001220703125,25.920000076293945,835.25,123.80000305175781,68.67500305175781,94.125,2413.0,104.9000015258789,57.849998474121094,10.460000038146973
2020-05-15,1753.4000244140625,17.04599952697754,812.5,2.3334999084472656,1852.5999755859375,29.43000030517578,319.25,312.0,452.25,1601.5,287.5,26.579999923706055,838.5,124.7249984741211,57.875,97.0,2399.0,104.80000305175781,58.25,10.380000114440918
2020-05-18,1731.800048828125,17.464000701904297,864.7000122070312,2.4049999713897705,2021.800048828125,31.81999969482422,320.75,318.75,446.25,1607.0,285.1000061035156,27.31999969482422,845.0,126.5999984741211,57.650001525878906,98.7249984741211,2404.0,105.69999694824219,57.79999923706055,10.800000190734863
2020-05-19,1744.199951171875,17.892000198364258,885.0,2.4230000972747803,2069.39990234375,32.5,321.25,315.75,441.5,1607.0,284.6000061035156,27.09000015258789,842.5,127.42500305175781,56.650001525878906,98.7750015258789,2435.0,107.05000305175781,59.20000076293945,10.850000381469727
2020-05-20,1750.5999755859375,18.00200080871582,929.9000244140625,2.4674999713897705,2154.10009765625,33.4900016784668,319.5,318.0,453.25,1608.5,285.5,27.360000610351562,846.75,126.0,56.875,98.4000015258789,2401.0,105.6500015258789,58.209999084472656,11.1899995803833
2020-05-21,1720.5,17.334999084472656,861.9000244140625,2.4519999027252197,2057.0,33.91999816894531,317.75,319.75,454.5,1604.0,282.5,27.110000610351562,835.0,126.0250015258789,59.349998474121094,98.80000305175781,2340.0,104.75,58.060001373291016,10.979999542236328
2020-05-22,1734.5999755859375,17.663999557495117,881.7000122070312,2.4089999198913574,1971.800048828125,33.25,318.0,323.5,444.5,1605.0,284.1000061035156,26.639999389648438,833.25,128.8000030517578,58.775001525878906,97.69999694824219,2394.0,103.5999984741211,57.61000061035156,10.930000305175781
2020-05-26,1704.800048828125,17.565000534057617,868.7000122070312,2.438499927520752,1983.800048828125,34.349998474121094,319.0,331.25,447.25,1624.0,283.8999938964844,27.270000457763672,847.0,133.3000030517578,60.5,99.4000015258789,2394.0,105.0999984741211,58.22999954223633,11.050000190734863
2020-05-27,1710.300048828125,17.68600082397461,873.5,2.4024999141693115,1971.300048828125,32.810001373291016,320.5,327.5,451.75,1636.0,282.0,27.600000381469727,848.5,134.02499389648438,60.17499923706055,100.80000305175781,2363.0,102.5,58.34000015258789,10.800000190734863
2020-05-28,1713.300048828125,17.895000457763672,864.0,2.4130001068115234,1901.5999755859375,33.709999084472656,327.5,328.5,464.0,1688.5,284.29998779296875,27.389999389648438,847.0,135.5,56.92499923706055,101.4749984741211,2429.0,99.0999984741211,57.56999969482422,10.800000190734863
2020-05-29,1736.9000244140625,18.440000534057617,870.5,2.426500082015991,1934.5,35.4900016784668,325.75,324.25,470.5,1721.5,283.20001220703125,27.3799991607666,840.75,135.35000610351562,56.849998474121094,99.7249984741211,2454.0,96.30000305175781,57.59000015258789,10.90999984741211
2020-06-01,1737.800048828125,18.76799964904785,897.0,2.4744999408721924,1963.4000244140625,35.439998626708984,323.25,329.75,462.5,1811.5,283.1000061035156,27.600000381469727,840.5,136.125,54.599998474121094,98.30000305175781,2493.0,98.30000305175781,60.060001373291016,11.0
2020-06-02,1725.199951171875,18.207000732421875,864.5999755859375,2.494499921798706,1954.0,36.810001373291016,324.25,328.25,450.75,1906.5,283.70001220703125,27.940000534057617,850.5,133.4250030517578,52.400001525878906,95.30000305175781,2402.0,98.19999694824219,60.369998931884766,11.220000267028809
2020-06-03,1697.800048828125,17.92099952697754,857.7999877929688,2.496500015258789,1933.4000244140625,37.290000915527344,324.0,331.75,457.75,2056.5,286.29998779296875,27.860000610351562,857.5,134.22500610351562,48.650001525878906,95.44999694824219,2395.0,99.0999984741211,60.47999954223633,11.619999885559082
2020-06-04,1718.9000244140625,18.02400016784668,862.7999877929688,2.493000030517578,1902.5,37.40999984741211,329.0,345.5,472.25,2206.5,289.79998779296875,27.81999969482422,867.75,134.72500610351562,48.42499923706055,95.7249984741211,2396.0,98.1500015258789,60.0,11.729999542236328
2020-06-05,1676.199951171875,17.44300079345703,830.0999755859375,2.556999921798706,1929.9000244140625,39.54999923706055,331.25,328.25,461.25,2056.5,289.1000061035156,28.139999389648438,867.75,134.1750030517578,47.45000076293945,93.9000015258789,2398.0,98.9000015258789,61.790000915527344,12.020000457763672
2020-06-08,1698.300048828125,17.868000030517578,860.7000122070312,2.569999933242798,2019.199951171875,38.189998626708984,333.75,314.5,460.5,1906.5,288.3999938964844,28.100000381469727,864.75,133.0749969482422,48.57500076293945,94.125,2413.0,98.9000015258789,60.810001373291016,11.9399995803833
2020-06-09,1714.699951171875,17.77400016784668,862.2999877929688,2.6005001068115234,1948.199951171875,38.939998626708984,327.5,317.25,457.75,1756.5,287.1000061035156,28.229999542236328,863.25,134.25,48.07500076293945,96.32499694824219,2484.0,97.80000305175781,60.52000045776367,12.0
2020-06-10,1713.300048828125,17.775999069213867,849.5,2.6570000648498535,1911.9000244140625,39.599998474121094,326.25,313.5,457.5,1606.5,288.79998779296875,28.0,865.5,132.6750030517578,47.849998474121094,96.5999984741211,2470.0,96.75,60.5099983215332,12.229999542236328
2020-06-11,1732.0,17.868999481201172,826.0999755859375,2.5864999294281006,1889.9000244140625,36.34000015258789,329.75,319.0,447.0,1456.5,289.70001220703125,27.5,866.0,132.1750030517578,47.974998474121094,96.82499694824219,2362.0,96.0,60.02000045776367,11.9399995803833
