Date,^GSPC,^DJI,^IXIC,^RUT,^VIX,399001.SZ
2021-02-24,3925.429931640625,31961.859375,13597.9697265625,2284.3798828125,21.34000015258789,14870.66015625
2021-02-25,3829.340087890625,31402.009765625,13119.4296875,2200.169921875,28.889999389648438,14828.7998046875
2021-02-26,3811.14990234375,30932.369140625,13192.349609375,2201.050048828125,27.950000762939453,14507.4501953125
2021-03-01,3901.820068359375,31535.509765625,13588.830078125,2275.320068359375,23.350000381469727,14857.33984375
2021-03-02,3870.2900390625,31391.51953125,13358.7900390625,2231.510009765625,24.100000381469727,14751.1201171875
2021-03-03,3819.719970703125,31270.08984375,12997.75,2207.7900390625,26.670000076293945,14932.3896484375
2021-03-04,3768.469970703125,30924.140625,12723.4697265625,2146.919921875,28.56999969482422,14416.0595703125
2021-03-05,3841.93994140625,31496.30078125,12920.150390625,2192.2099609375,24.65999984741211,14412.3095703125
2021-03-08,3821.35009765625,31802.439453125,12609.16015625,2202.97998046875,25.469999313354492,13863.8095703125
2021-03-09,3875.43994140625,31832.740234375,13073.8203125,2245.06005859375,24.030000686645508,13475.7197265625
2021-03-10,3898.81005859375,32297.01953125,13068.830078125,2285.679931640625,22.559999465942383,13563.33984375
2021-03-11,3939.340087890625,32485.58984375,13398.669921875,2338.5400390625,21.90999984741211,13866.3701171875
2021-03-12,3943.340087890625,32778.640625,13319.8603515625,2352.7900390625,20.690000534057617,13897.0302734375
2021-03-15,3968.93994140625,32953.4609375,13459.7099609375,2360.169921875,20.030000686645508,13520.0703125
2021-03-16,3962.7099609375,32825.94921875,13471.5703125,2319.52001953125,19.790000915527344,13642.9501953125
2021-03-17,3974.1201171875,33015.37109375,13525.2001953125,2336.389892578125,19.229999542236328,13809.76953125
2021-03-18,3915.4599609375,32862.30078125,13116.169921875,2267.590087890625,21.579999923706055,13963.919921875
2021-03-19,3913.10009765625,32627.970703125,13215.240234375,2287.550048828125,20.950000762939453,13606.0
2021-03-22,3940.590087890625,32731.19921875,13377.5400390625,2266.840087890625,18.8799991607666,13760.9697265625
2021-03-23,3910.52001953125,32423.150390625,13227.7001953125,2185.68994140625,20.299999237060547,13607.26953125
2021-03-24,3889.139892578125,32420.060546875,12961.8896484375,2134.27001953125,21.200000762939453,13407.349609375
2021-03-25,3909.52001953125,32619.48046875,12977.6796875,2183.1201171875,19.809999465942383,13421.16015625
2021-03-26,3974.5400390625,33072.87890625,13138.73046875,2221.47998046875,18.860000610351562,13769.6796875
2021-03-29,3971.090087890625,33171.37109375,13059.650390625,2158.679931640625,20.739999771118164,13771.259765625
2021-03-30,3958.550048828125,33066.9609375,13045.3896484375,2195.800048828125,19.610000610351562,13888.4404296875
2021-03-31,3972.889892578125,32981.55078125,13246.8701171875,2220.52001953125,19.399999618530273,13778.669921875
2021-04-01,4019.8701171875,33153.2109375,13480.1103515625,2253.89990234375,17.329999923706055,13979.6904296875
