"","nombres","omega","alfa","beta","a","b"
"421","OKE",0.307882174307405,0.232162443376231,0.766837548317537,0.136135251225937,0.379989341101247
"422","HES",0.264815949193528,0.0383214992447228,0.940353883991658,0.0627791997173176,0.886606837965311
"423","ET",0.533990818011669,0.11234345738872,0.838496227279991,0.0299194473644059,0.917837996730955
"424","HAL",0.550598827102743,0.0792573285716166,0.89069676387407,0.0666984611048801,0.893557397375359
"425","PBA",0.282405678088926,0.236644572722642,0.753191350450064,0.074983470225724,0.836694124597716
"426","CVE",0.776497769793129,0.0609824986303924,0.897816314808404,0.0222098747160169,0.946724553191607
"427","DVN",0.705876823054328,0.0728442329078436,0.892694305202785,0.0252973320772986,0.932207217232193
"428","MMP",0.313104803903683,0.177106786845252,0.763943449132914,0.0534462517130965,0.883199494273215
"429","FANG",1.01736847310274,0.089274385864827,0.868116095476296,0.0260314969997212,0.918140399889817
"430","TS",0.765840060060453,0.122268677395104,0.804785779984375,0.0374965202120295,0.930088874580577
"431","CLR",0.615197991570901,0.0681022308419533,0.912390290203232,0.0231412335660579,0.93960964920412
"432","PSXP",1.01251440913485,0.196772504646889,0.719790332481073,0.0139030492446784,0.95925857734518
"433","PAA",0.796191497375146,0.187985986372995,0.762805181816992,0.068983752228513,0.685900203176909
"434","SSL",1.70465399676794,0.154566670788553,0.793870934952022,0.0267769341724313,0.944369798424397
"435","TRGP",0.450766086766713,0.139911260035092,0.83915922097989,0.0476723768415304,0.364113565934706
"436","TPL",1.61263148496598,0.222224443661865,0.665375183252651,0.035015735867611,0.93393435758266
"437","WES",0.928420856441254,0.154139878822758,0.797194018577468,0.0109851326216427,0.951661727916957
"438","MRO",1.09341068232996,0.0597629975705118,0.885279437770111,0.0205750604112593,0.936101552875203
"439","APA",1.25836327840691,0.0639028796973839,0.892981673293366,0.0418282606439929,0.916608863314879
"440","CCJ",1.39147525434704,0.0996630760611528,0.789643201789714,0.0850012365228278,0.512451370733296
"441","NOV",0.901321430409616,0.0987689455473362,0.856234011903863,0.0442081714402836,0.926996419578833
"442","HFC",0.371590700634481,0.075163649458992,0.901199616579823,0.0320595678328806,0.942915418521705
"443","FTI",1.06111864186863,0.101528926055998,0.849368426568013,0.0404130107510286,0.926244684242848
"444","SHI",0.511167692882248,0.120240469395143,0.779388531494224,0.00486618430084178,0.974468851067556
"445","VVV",0.733783934932273,0.363646983685746,0.568533809863432,0.0219072108682112,0.938996366778202
"446","EQT",0.500787222120355,0.0407742964434199,0.928382237257025,0.0900681385437059,0.676073534303127
"447","SHLX",0.438768490166214,0.145434767733514,0.806060855951319,0.0082686185069212,0.935607746637457
"448","OVV",0.248015206235835,0.00777072144460306,0.975815784121215,0.0236172829899116,0.923418130092707
"449","DCP",0.986901952446776,0.165939597492818,0.804037958768332,0.0575711952073729,0.675661001110926
"450","AM",0.0862700070726726,0.0396327864648322,0.949624349825411,0.0399708141556589,0.866568590159571
"451","REGI",2.32657211045767,0.0797916836990648,0.813987002193331,0.0292266136203431,0.937066743845381
"452","NFG",0.33065798314042,0.20961904843836,0.705564621067431,0.0383022952443737,0.918948007266049
"453","CHX",1.34779741527745,0.11727645819196,0.836242758448245,0.0390357741358404,0.644726217483836
"454","SUN",0.181774536054582,0.196318188513933,0.78052041542047,0.0722753631862084,0.572506129290343
"455","ETRN",0.344490372348836,0.0872443361117958,0.884040244709199,2.82674140152972e-08,0.902738625478323
"456","CNX",0.355145183493792,0.0646422315240436,0.913591037454535,0.100511190834257,0.529170549376117
"457","HP",0.717322380547337,0.0985247512081636,0.878145896605545,0.0431712942949786,0.901998053847477
"458","PDCE",3.28681300054597,0.172362478137463,0.724911625352756,0.0874426338802789,4.69887119730799e-07
"459","MGY",0.566179917037603,0.0976501375808569,0.875793488742059,0.104507103536307,0.402502313041535
